customer_id,sex,customer_age,tenure
2093,Male,47,133
12817,Male,40,132
14309,Female,37,131
15155,Male,42,131
23205,Male,41,131
25012,Male,48,131
27083,Female,34,131
27867,Male,38,131
28749,Male,36,131
29561,Male,44,131
29841,Male,49,131
30667,Male,50,131
31675,Male,44,131
32515,Male,38,131
33621,Male,40,131
36888,Male,40,131
38213,Male,35,131
40537,Male,42,131
44415,Male,48,131
46753,Male,35,131
47145,Male,38,131
47831,Male,44,131
48447,Male,59,131
51163,Male,46,131
51751,Male,48,131
54215,Male,38,131
55559,Male,54,131
62867,Male,38,131
64029,Female,70,131
69055,Male,43,131
78883,Male,47,131
80367,Male,56,131
83027,Male,38,131
83615,Male,47,131
85617,Male,48,131
85855,Male,123,131
86023,Male,36,131
87213,Male,46,131
87843,Male,39,131
88655,Male,55,131
88711,Male,40,131
89271,Male,40,131
91413,Male,48,131
92001,Male,43,131
94857,Male,50,131
95795,Male,38,131
99813,Male,42,131
103383,Male,46,130
104251,Female,40,130
105749,Male,42,130
106519,Male,39,130
120085,Male,39,130
120393,Male,39,130
136493,Male,33,130
141491,Male,50,130
141533,Male,44,130
141673,Male,35,130
145425,Male,39,130
148505,Male,44,130
151935,Male,38,130
156205,Male,50,130
158893,Male,51,130
159145,Male,34,130
163163,Male,47,130
179837,Male,44,130
180075,Male,58,130
181979,Male,45,130
184331,Female,41,130
184499,Male,49,130
185003,Male,36,130
186963,Male,39,130
190435,Male,39,130
192577,Male,46,130
193333,Male,51,130
194579,Male,42,130
197328,Male,34,130
202713,Male,51,130
205625,Male,47,130
206437,Female,46,130
207977,Male,42,130
221515,Male,35,130
222747,Male,43,130
223293,Male,43,130
228823,Male,39,130
229985,Male,41,130
237545,Male,45,130
237573,Male,43,130
238511,Male,44,130
239057,Female,52,130
240191,Male,47,130
243481,Male,42,130
247695,Male,43,130
247709,Male,45,130
248843,Male,37,130
249837,Male,48,130
253421,Male,47,130
255451,Male,42,130
261513,Male,37,130
263571,Male,39,130
264159,Male,36,130
268289,Male,39,130
271159,Male,49,130
275121,Male,37,130
277165,Male,38,130
290255,Male,40,130
290983,Male,43,130
301472,Male,51,130
308021,Male,39,130
308343,Male,35,130
309449,Female,47,130
310807,Male,38,130
311689,Male,35,130
318885,Male,41,130
327621,Male,44,130
328657,Male,50,130
329021,Male,52,130
330575,Male,46,130
332964,Male,48,130
333207,Male,34,130
338023,Male,43,130
342381,Male,36,130
346703,Male,46,130
347515,Male,46,130
355131,Male,38,130
363111,Male,35,130
365043,Male,35,130
365852,Male,34,130
371385,Male,42,130
373289,Male,36,130
375406,Male,42,130
376075,Male,40,130
376313,Male,35,130
380975,Male,57,130
381017,Male,42,130
396291,Male,37,130
397705,Male,38,130
399651,Male,38,130
403081,Male,46,130
407099,Male,39,130
413449,Male,38,130
413763,Male,42,130
413833,Male,37,130
415317,Male,34,130
427231,Male,34,130
AC,111,ABC,111
AC,111,ABC,111
AC,111,ABC,111
AC,111,ABC,111
AC,111,ABC,111
